species;accession;code;incubator;petridish;mgr;syn
Gypsophila repens;310821-08;310821-08;Snowbed;1;0.003520588;0.23715415
Gypsophila repens;310821-08;310821-08;Snowbed;2;0.003698567;0.23550725
Gypsophila repens;310821-08;310821-08;Snowbed;3;0.003647898;0.17391304
Gypsophila repens;310821-08;310821-08;Snowbed;4;0.003581895;0.35497835
Helianthemum canum;300821-05;300821-05;Fellfield;1;0.005460218;0.04761905
Helianthemum canum;300821-05;300821-05;Fellfield;2;0.011152416;0.5
Helianthemum canum;300821-05;300821-05;Fellfield;3;0.015714286;0.50909091
Helianthemum canum;300821-05;300821-05;Fellfield;4;0.010050251;0.25
Helianthemum canum;300821-05;300821-05;Snowbed;1;0.004914005;0.13333333
Helianthemum canum;300821-05;300821-05;Snowbed;2;0.006417112;0.06666667
Helianthemum canum;300821-05;300821-05;Snowbed;3;0.008645533;0.13333333
Helianthemum canum;300821-05;300821-05;Snowbed;4;0.006550218;0.06666667
Helianthemum canum;310821-05;310821-05;Fellfield;1;0.003208556;0
Helianthemum canum;310821-05;310821-05;Fellfield;2;0.028735632;0.3
Helianthemum canum;310821-05;310821-05;Fellfield;3;0.058823529;1
Helianthemum canum;310821-05;310821-05;Fellfield;4;0.006153846;0
Helianthemum canum;310821-05;310821-05;Snowbed;1;;
Helianthemum canum;310821-05;310821-05;Snowbed;2;0.004008016;0.16666667
Helianthemum canum;310821-05;310821-05;Snowbed;3;0.003636364;
Helianthemum canum;310821-05;310821-05;Snowbed;4;0.011792453;0.3
Helianthemum urrielense;130921-05;130921-05;Fellfield;1;0.005128205;0
Helianthemum urrielense;130921-05;130921-05;Fellfield;2;0.034482759;1
Helianthemum urrielense;130921-05;130921-05;Fellfield;3;0.034482759;
Helianthemum urrielense;130921-05;130921-05;Fellfield;4;0.066666667;
Helianthemum urrielense;130921-05;130921-05;Snowbed;1;;
Helianthemum urrielense;130921-05;130921-05;Snowbed;2;0.034482759;
Helianthemum urrielense;130921-05;130921-05;Snowbed;3;0.066666667;1
Helianthemum urrielense;130921-05;130921-05;Snowbed;4;0.066666667;
Helianthemum urrielense;130921-05;130921-05b;Fellfield;5;0.004283966;0.1318681
Helianthemum urrielense;130921-05;130921-05b;Fellfield;6;0.004836759;0.3030303
Helianthemum urrielense;130921-05;130921-05b;Snowbed;5;0.004112623;0.474359
Helianthemum urrielense;130921-05;130921-05b;Snowbed;6;0.004047491;0.5238095
Helianthemum urrielense;140921-04;140921-04;Fellfield;1;0.052631579;
Helianthemum urrielense;140921-04;140921-04;Fellfield;2;0.030487805;0.3
Helianthemum urrielense;140921-04;140921-04;Fellfield;3;0.052631579;
Helianthemum urrielense;140921-04;140921-04;Fellfield;4;0.037735849;0
Helianthemum urrielense;140921-04;140921-04;Snowbed;1;0.052631579;
Helianthemum urrielense;140921-04;140921-04;Snowbed;2;0.029411765;1
Helianthemum urrielense;140921-04;140921-04;Snowbed;3;0.052631579;
Helianthemum urrielense;140921-04;140921-04;Snowbed;4;0.029411765;1
Helianthemum urrielense;140921-04;140921-04b;Fellfield;5;0.023809524;
Helianthemum urrielense;140921-04;140921-04b;Fellfield;6;0.023809524;1
Helianthemum urrielense;140921-04;140921-04b;Snowbed;6;0.004444444;1
Helictochloa marginata;240821-06;240821-06;Fellfield;1;0.00390625;1
Helictochloa marginata;240821-06;240821-06;Fellfield;2;0.006920415;0
Helictochloa marginata;240821-06;240821-06;Snowbed;1;0.003584229;0.5
Helictochloa marginata;240821-06;240821-06;Snowbed;2;0.018867925;
Helictotrichon sedenense;300821-09;300821-09;Fellfield;1;0.004282655;0.3333333
Helictotrichon sedenense;300821-09;300821-09;Fellfield;2;0.004219409;1
Helictotrichon sedenense;300821-09;300821-09;Fellfield;3;0.004282655;0.3333333
Helictotrichon sedenense;300821-09;300821-09;Fellfield;4;0.006060606;0.3333333
Helictotrichon sedenense;300821-09;300821-09;Snowbed;1;0.004310345;1
Helictotrichon sedenense;300821-09;300821-09;Snowbed;2;0.004310345;1
Helictotrichon sedenense;300821-09;300821-09;Snowbed;3;0.004111842;0.6
Helictotrichon sedenense;300821-09;300821-09;Snowbed;4;0.004016064;0.4761905
Iberis carnosa;130921-12;130921-12;Fellfield;1;0.022446689;0.63684211
Iberis carnosa;130921-12;130921-12;Fellfield;2;0.02373247;0.74025974
Iberis carnosa;130921-12;130921-12;Fellfield;3;0.016853933;0.72857143
Iberis carnosa;130921-12;130921-12;Fellfield;4;0.010879849;0.48221344
Iberis carnosa;130921-12;130921-12;Snowbed;1;0.003658925;0.20948617
Iberis carnosa;130921-12;130921-12;Snowbed;2;0.003638884;0.12380952
Iberis carnosa;130921-12;130921-12;Snowbed;3;0.003396839;0.17391304
Iberis carnosa;130921-12;130921-12;Snowbed;4;0.004292647;0.11067194
