community;species;family;population;recolection;incubator;abundance;total_seeds;viable_seeds;viablePER;total_seeds_germinated;final_germ;autumn_germ ;spring_germ;summer_germ;winter_germ;t50;Env_heat_sum;MGT;Syn
Mediterranean;Phalacrocarpum oppositifolium;Asteraceae;240821-05;24/08/2021;Fellfield;0.71;25;23;92;18;78.26;17.39;52.17;8.7;30.43;183.5;164;0.00502;0.196
Mediterranean;Phalacrocarpum oppositifolium;Asteraceae;240821-05;24/08/2021;Snowbed;0.71;24;22;91.67;22;100;0;100;0;100;111.5208333;73;0.0041;1
Mediterranean;Phalacrocarpum oppositifolium;Asteraceae;250821-05;25/08/2021;Fellfield;0.71;50;35;70;20;57.14;0;57.14;0;22.86;172.2;120.5;0.00459;0.272
Mediterranean;Phalacrocarpum oppositifolium;Asteraceae;250821-05;25/08/2021;Snowbed;0.71;45;26;57.78;26;100;0;96.15;3.85;96.15;105.6581439;43;0.00406;0.917
Mediterranean;Phyteuma hemisphaericum;Campanulaceae;240821-10;24/08/2021;Fellfield;0.21;99;77;77.78;18;23.38;1.3;20.78;1.3;0;NA;NA;0.00437;0.245
Mediterranean;Phyteuma hemisphaericum;Campanulaceae;240821-10;24/08/2021;Snowbed;0.21;93;74;79.57;31;41.89;1.35;17.57;22.97;6.76;284.5;547;0.00377;0.204
Mediterranean;Phyteuma hemisphaericum;Campanulaceae;250821-07;25/08/2021;Fellfield;0.21;100;83;83;33;39.76;0;37.35;2.41;0;NA;NA;0.00427;0.218
Mediterranean;Phyteuma hemisphaericum;Campanulaceae;250821-07;25/08/2021;Snowbed;0.21;99;89;89.9;24;26.97;0;17.98;8.99;1.12;NA;NA;0.00362;0.427
Temperate;Phyteuma orbiculare;Campanulaceae;300921-02;30/09/2021;Fellfield;0.19;51;35;68.63;7;20;0;20;0;0;NA;NA;0.00463;1
Temperate;Phyteuma orbiculare;Campanulaceae;300921-02;30/09/2021;Snowbed;0.19;47;28;59.57;10;35.71;0;17.86;17.86;17.86;NA;NA;0.00403;0.556
Temperate;Plantago alpina;Plantaginaceae;130921-08;13/09/2021;Fellfield;1.27;60;54;90;54;100;12.96;87.04;0;0;194.6111111;300.5;0.00528;0.195
Temperate;Plantago alpina;Plantaginaceae;130921-08;13/09/2021;Snowbed;1.27;60;46;76.67;45;97.83;2.17;89.13;6.52;63.04;231.8416667;181.1666667;0.00413;0.241
Temperate;Plantago alpina;Plantaginaceae;300821-15;30/08/2021;Fellfield;1.27;100;90;90;90;100;38.89;60;1.11;0;157.4490385;368.25;0.00745;0.256
Temperate;Plantago alpina;Plantaginaceae;300821-15;30/08/2021;Snowbed;1.27;100;96;96;96;100;0;97.92;2.08;68.75;237.25;269.5;0.00412;0.226
Mediterranean;Plantago holosteum;Plantaginaceae;240821-04;24/08/2021;Fellfield;0.36;150;150;100;150;100;100;0;0;0;8.510416665;80.75;0.04465;1
